Kelime | Kelimenin Frekansi | Most Likely Tag
1960 | 45 | 0.01515685583362707
1960's | 3 | 1.0
1961 | 41 | 0.014451885794853719
1961-62 | 2 | 0.0007049700387733521
1962 | 9 | 0.003172365174480085
1963 | 4 | 0.0014099400775467042
1966 | 3 | 0.0010574550581600281
1980 | 3 | 0.0010574550581600281
1986 | 3 | 0.014285714285714285
19th | 3 | 0.00631578947368421
2 | 56 | 0.09375
2% | 2 | 8.502678343678259e-05
2,000 | 3 | 0.0010574550581600281
2-run | 2 | 0.00020506510817184457
2-year-old | 3 | 0.00010253255408592229
20 | 30 | 0.010574550581600282
20% | 2 | 8.502678343678259e-05
200 | 15 | 0.005287275290800141
20th | 4 | 0.016666666666666666
21 | 11 | 0.0038773352132534366
211 | 2 | 0.00625
22 | 20 | 0.01875
22-year-old | 2 | 0.00020506510817184457
229 | 2 | 0.00625
23 | 25 | 0.014285714285714285
23d | 4 | 0.008421052631578947
24 | 20 | 0.04285714285714286
24th | 4 | 0.016666666666666666
25 | 29 | 0.00986958054282693
25,000 | 3 | 0.0010574550581600281
250 | 2 | 0.0007049700387733521
26 | 14 | 0.014285714285714285
27 | 7 | 0.0024673951357067326
28 | 8 | 0.0028198801550934085
280 | 2 | 0.0007049700387733521
29 | 9 | 0.003172365174480085
29th | 3 | 0.016666666666666666
2d | 2 | 0.016666666666666666
3 | 37 | 0.03125
3,000 | 3 | 0.0010574550581600281
30 | 30 | 0.010574550581600282
30,000 | 2 | 0.0007049700387733521
30- | 2 | 0.0007049700387733521
30-odd | 2 | 0.0007049700387733521
300 | 7 | 0.0024673951357067326
300,000 | 3 | 0.0010574550581600281
31 | 9 | 0.00625
32 | 3 | 0.00625
3211 | 2 | 0.0007049700387733521
33 | 2 | 0.0007049700387733521
34 | 2 | 0.0007049700387733521
35 | 7 | 0.0024673951357067326
36 | 2 | 0.0007049700387733521
37 | 2 | 0.0007049700387733521
375 | 2 | 0.0007049700387733521
38 | 3 | 0.0010574550581600281
39 | 3 | 0.0010574550581600281
4 | 46 | 0.04375
4-0 | 2 | 0.0007049700387733521
4-h | 4 | 0.00017005356687356519
4-year | 2 | 0.00020506510817184457
40 | 13 | 0.00625
40,000 | 3 | 0.0010574550581600281
40-year-old | 2 | 0.00020506510817184457
400 | 5 | 0.0017624250969333803
41 | 8 | 0.0028198801550934085
42 | 5 | 0.00625
420 | 2 | 0.0007049700387733521
447 | 2 | 0.0007049700387733521
45 | 7 | 0.0024673951357067326
46 | 5 | 0.0017624250969333803
46th | 2 | 0.016666666666666666
47 | 4 | 0.0014099400775467042
48 | 3 | 0.00625
4:30 | 3 | 0.0010574550581600281
4th | 3 | 0.00631578947368421
5 | 24 | 0.02857142857142857
5% | 4 | 0.00017005356687356519
5,000 | 3 | 0.0010574550581600281
5-run | 2 | 0.00020506510817184457
50 | 18 | 0.00634473034896017
50% | 3 | 0.00012754017515517388
50-megaton | 4 | 0.00041013021634368914
500 | 8 | 0.0028198801550934085
50th | 2 | 0.016666666666666666
51 | 2 | 0.0007049700387733521
51st | 2 | 0.016666666666666666
52 | 2 | 0.0007049700387733521
53 | 2 | 0.0125
55 | 3 | 0.0010574550581600281
56 | 4 | 0.0014099400775467042
57 | 2 | 0.0007049700387733521
58 | 3 | 0.00625
58th | 2 | 0.004210526315789474
6 | 23 | 0.007754670426506873
6-3 | 3 | 0.0010574550581600281
6-foot | 2 | 0.00020506510817184457
6.9 | 2 | 0.0007049700387733521
60 | 18 | 0.00625
60,000 | 3 | 0.0010574550581600281
600 | 2 | 0.0007049700387733521
61 | 3 | 0.0010574550581600281
65 | 7 | 0.0024673951357067326
68 | 5 | 0.0017624250969333803
69 | 6 | 0.0021149101163200562
7 | 29 | 0.1
70 | 12 | 0.0042298202326401125
700 | 4 | 0.0014099400775467042
71 | 4 | 0.0014099400775467042
72 | 4 | 0.0014099400775467042
72nd | 2 | 0.004210526315789474
73 | 3 | 0.0010574550581600281
74 | 3 | 0.0010574550581600281
75 | 4 | 0.0014099400775467042
76 | 2 | 0.0007049700387733521
77 | 2 | 0.00625
7:30 | 3 | 0.0010574550581600281
8 | 30 | 0.014285714285714285
8,000 | 2 | 0.0007049700387733521
8,280 | 2 | 0.014285714285714285
80 | 6 | 0.0021149101163200562
800 | 2 | 0.0007049700387733521
81 | 2 | 0.0007049700387733521
86 | 4 | 0.0014099400775467042
87th | 2 | 0.004210526315789474
8:30 | 4 | 0.0014099400775467042
9 | 23 | 0.11428571428571428
90 | 3 | 0.0010574550581600281
900 | 2 | 0.0007049700387733521
92 | 2 | 0.0007049700387733521
95 | 2 | 0.00625
96 | 2 | 0.0007049700387733521
9th | 7 | 0.014736842105263158
: | 319 | 1.0
; | 626 | 0.07470167064439141
? | 412 | 0.1568627450980392
UNK | 9965 | 1.0
`` | 1392 | 1.0
a | 3901 | 1.0
a's | 4 | 0.00017005356687356519
a. | 51 | 0.005072103431128792
a.m. | 18 | 0.0038071065989847717
a.m.a. | 2 | 0.00019890601690701143
abandoned | 7 | 0.0011893434823977164
abandoning | 2 | 0.0007902015013828526
abandonment | 2 | 8.502678343678259e-05
abbott | 2 | 0.00019890601690701143
abdomen | 2 | 8.502678343678259e-05
abide | 2 | 0.022727272727272728
abiding | 2 | 0.0007902015013828526
ability | 14 | 0.0005951874840574781
able | 41 | 0.004203834717522814
aboard | 2 | 0.00021150592216582064
abolish | 5 | 0.001026272577996716
abolition | 2 | 0.00025144581342720644
abortive | 2 | 0.00020506510817184457
about | 254 | 0.01670896785109983
above | 29 | 0.0013772645407352474
abroad | 12 | 0.038461538461538464
abrupt | 3 | 0.00030759766225776686
absence | 4 | 0.00017005356687356519
absent | 2 | 0.00020506510817184457
absolute | 3 | 0.00030759766225776686
absolutely | 6 | 0.002277904328018223
absorb | 2 | 0.00041050903119868636
absorbed | 3 | 0.0007136060894386299
absorption | 3 | 0.00012754017515517388
abstract | 3 | 0.00030759766225776686
abundant | 2 | 0.00020506510817184457
abuse | 4 | 0.00020525451559934318
abuses | 2 | 0.0002247443532981234
acacia | 3 | 0.00012754017515517388
academic | 12 | 0.001127858094945145
academy | 9 | 0.0020115665074176515
accelerated | 3 | 0.0004757373929590866
accelerating | 2 | 0.0007902015013828526
accent | 2 | 8.502678343678259e-05
accented | 2 | 0.0004757373929590866
accept | 11 | 0.002257799671592775
acceptable | 8 | 0.0008202604326873783
acceptance | 6 | 0.00025508035031034776
accepted | 10 | 0.00546448087431694
accepting | 3 | 0.001185302252074279
access | 3 | 0.00012754017515517388
accessories | 2 | 0.0002247443532981234
accident | 8 | 0.00034010713374713037
accidentally | 2 | 0.00042301184433164127
acclaimed | 3 | 0.0004757373929590866
accommodations | 3 | 0.0003371165299471851
accompanied | 6 | 0.0014272121788772598
accompaniment | 2 | 8.502678343678259e-05
accompaniments | 2 | 0.0002247443532981234
accomplish | 3 | 0.0006157635467980296
accomplished | 11 | 0.002378686964795433
accomplishments | 2 | 0.0002247443532981234
accord | 2 | 8.502678343678259e-05
according | 31 | 0.0016421231062612564
accordingly | 2 | 0.00042301184433164127
accosted | 2 | 0.00028951939779965256
account | 21 | 0.00273224043715847
accountability | 3 | 0.00012754017515517388
accounted | 2 | 0.0005790387955993051
accounts | 4 | 0.0004494887065962468
accuracy | 2 | 8.502678343678259e-05
accurate | 6 | 0.0006151953245155337
accurately | 2 | 0.00042301184433164127
accuse | 2 | 0.00041050903119868636
accused | 9 | 0.0019029495718363464
accuses | 2 | 0.001444043321299639
accustomed | 3 | 0.0007136060894386299
ace | 3 | 0.00025144581342720644
achieve | 10 | 0.002052545155993432
achieved | 8 | 0.0011893434823977164
achievement | 15 | 0.001760120693990445
achievements | 3 | 0.0003371165299471851
achieves | 2 | 0.001444043321299639
acknowledge | 3 | 0.0006157635467980296
acquire | 4 | 0.0008210180623973727
acquittal | 2 | 8.502678343678259e-05
acre | 2 | 8.502678343678259e-05
acreage | 4 | 0.00017005356687356519
acres | 14 | 0.0032310177705977385
acrobatic | 2 | 0.00020506510817184457
across | 25 | 0.011299435028248588
act | 49 | 0.00352024138798089
acted | 5 | 0.0008685581933989577
acting | 16 | 0.05128205128205128
action | 47 | 0.00273224043715847
actions | 9 | 0.0010113495898415553
active | 10 | 0.0010253255408592228
activities | 6 | 0.0006742330598943702
activity | 6 | 0.00025508035031034776
actor | 8 | 0.00034010713374713037
actors | 4 | 0.0004494887065962468
actress | 3 | 0.00025144581342720644
acts | 10 | 0.001123721766490617
actual | 4 | 0.00041013021634368914
actually | 28 | 0.005922165820642978
acute | 3 | 0.00030759766225776686
ad | 2 | 0.08695652173913043
adagio | 3 | 0.00025144581342720644
adair | 2 | 0.00019890601690701143
adam | 2 | 0.00019890601690701143
adams | 3 | 0.0002983590253605172
adaptation | 2 | 8.502678343678259e-05
adaptations | 4 | 0.0004494887065962468
adapters | 2 | 0.0002247443532981234
adapting | 2 | 0.0003951007506914263
adc | 8 | 0.00034010713374713037
add | 12 | 0.0024630541871921183
added | 49 | 0.014285714285714285
adding | 4 | 0.0015804030027657052
addition | 21 | 0.00273224043715847
additional | 21 | 0.002153183635804368
additions | 3 | 0.0003371165299471851
address | 14 | 0.0005951874840574781
addressed | 2 | 0.0004757373929590866
addresses | 7 | 0.006756756756756757
adds | 6 | 0.004332129963898917
adenauer | 3 | 0.0002983590253605172
adequate | 11 | 0.001127858094945145
adequately | 3 | 0.0006345177664974619
adherence | 3 | 0.00012754017515517388
adjoining | 2 | 0.0007902015013828526
adjournment | 2 | 8.502678343678259e-05
adjust | 2 | 0.00041050903119868636
adjusted | 2 | 0.0004757373929590866
adjustment | 4 | 0.00025144581342720644
adjustments | 2 | 0.0002247443532981234
adlai | 4 | 0.00039781203381402286
administration | 76 | 0.005280362081971335
administration's | 6 | 0.03225806451612903
administrative | 9 | 0.0008488964346349745
administrator | 6 | 0.00025144581342720644
admirable | 4 | 0.00041013021634368914
admire | 2 | 0.00041050903119868636
admission | 7 | 0.00029759374202873904
admit | 6 | 0.0012315270935960591
admitted | 15 | 0.0028951939779965257
admitting | 4 | 0.0015804030027657052
ado | 4 | 0.0010057832537088258
adopt | 4 | 0.0008210180623973727
adopted | 12 | 0.014285714285714285
adoption | 2 | 8.502678343678259e-05
adorable | 2 | 0.00020506510817184457
ads | 2 | 0.0002247443532981234
adult | 3 | 0.00012754017515517388
adults | 2 | 0.0002247443532981234
advance | 11 | 0.001026272577996716
advanced | 12 | 0.0019029495718363464
advantage | 12 | 0.0005101607006206955
adventures | 6 | 0.0032310177705977385
adverse | 3 | 0.00030759766225776686
advertisers | 5 | 0.0005618608832453085
advertising | 11 | 0.002370604504148558
advice | 9 | 0.00038262052546552165
advisability | 3 | 0.00012754017515517388
advise | 2 | 0.022727272727272728
advised | 5 | 0.0009514747859181732
advisement | 2 | 8.502678343678259e-05
adviser | 3 | 0.00012754017515517388
advisers | 9 | 0.0010113495898415553
advisors | 3 | 0.0003371165299471851
advisory | 8 | 0.0025466893039049238
advocate | 5 | 0.00273224043715847
aec | 2 | 8.502678343678259e-05
aerial | 3 | 0.00030759766225776686
afar | 2 | 0.5
affair | 8 | 0.00034010713374713037
affairs | 13 | 0.006462035541195477
affect | 3 | 0.0006157635467980296
affected | 7 | 0.0014272121788772598
affection | 3 | 0.00012754017515517388
affiliated | 3 | 0.0007136060894386299
affiliations | 2 | 0.0002247443532981234
affinity | 2 | 8.502678343678259e-05
afford | 5 | 0.001026272577996716
afl-cio | 2 | 8.502678343678259e-05
afloat | 4 | 0.0008460236886632825
afraid | 7 | 0.000717727878601456
africa | 14 | 0.0035335689045936395
african | 9 | 0.002461033634126333
africans | 3 | 0.009230769230769232
after | 211 | 1.0
aftermath | 2 | 8.502678343678259e-05
afternoon | 25 | 0.0010628347929597824
afternoons | 4 | 0.0004494887065962468
again | 71 | 0.11538461538461539
against | 123 | 0.006409577285729421
age | 25 | 0.0010628347929597824
aged | 6 | 0.0014272121788772598
agencies | 12 | 0.0016155088852988692
agency | 19 | 0.0007543374402816193
agenda | 2 | 8.502678343678259e-05
agent | 4 | 0.00017005356687356519
agents | 7 | 0.0007866052365434319
ages | 5 | 0.0005618608832453085
aggies | 2 | 0.006153846153846154
aggression | 3 | 0.00012754017515517388
aggressions | 3 | 0.0003371165299471851
aggressive | 4 | 0.00041013021634368914
aggrieved | 2 | 0.0004757373929590866
agility | 2 | 8.502678343678259e-05
ago | 59 | 0.012478849407783418
agonizing | 2 | 0.00020506510817184457
agree | 8 | 0.0016420361247947454
agreed | 16 | 0.0023161551823972205
agreeing | 2 | 0.0007902015013828526
agreement | 23 | 0.00273224043715847
agreements | 4 | 0.0004494887065962468
agricultural | 6 | 0.0006151953245155337
agriculture | 8 | 0.0007543374402816193
ah | 2 | 0.058823529411764705
ahead | 17 | 0.038461538461538464
aid | 46 | 0.00273224043715847
aided | 2 | 0.00028951939779965256
aides | 2 | 0.0002247443532981234
aiding | 4 | 0.02564102564102564
ailey | 2 | 0.00019890601690701143
ailey's | 2 | 0.0037174721189591076
aim | 3 | 0.00012754017515517388
aimed | 3 | 0.0007136060894386299
aims | 2 | 0.0002247443532981234
air | 30 | 0.003268795574553684
aircraft | 3 | 0.0005028916268544129
airlines | 2 | 0.0002247443532981234
airport | 6 | 0.00025144581342720644
aj | 21 | 0.0008927812260862172
akin | 2 | 0.00020506510817184457
al | 12 | 1.0
ala. | 7 | 0.0035335689045936395
alabama | 3 | 0.0002983590253605172
alacrity | 2 | 0.00019890601690701143
alan | 2 | 0.00019890601690701143
albania | 2 | 0.00019890601690701143
albanian | 2 | 0.00020506510817184457
albanians | 2 | 0.006153846153846154
albany | 2 | 0.00019890601690701143
albert | 8 | 0.0007956240676280457
album | 5 | 0.00021256695859195646
albums | 2 | 0.0002247443532981234
alcoholics | 2 | 0.0002247443532981234
alden | 2 | 0.00019890601690701143
alex | 2 | 0.00019890601690701143
alexander | 4 | 0.00039781203381402286
alexandre | 2 | 0.00019890601690701143
alfred | 10 | 0.000994530084535057
algeria | 2 | 0.00019890601690701143
algerian | 2 | 0.0008488964346349745
alice | 3 | 0.0002983590253605172
alien | 2 | 0.00020506510817184457
alight | 2 | 0.00020525451559934318
alike | 3 | 0.0006345177664974619
alive | 6 | 0.0006151953245155337
all | 416 | 1.0
all-out | 3 | 0.00030759766225776686
alla | 2 | 0.00019890601690701143
allan | 2 | 0.00019890601690701143
alleged | 2 | 0.0004757373929590866
allegedly | 3 | 0.0007593014426727411
allen | 9 | 0.0008950770760815514
alliance | 5 | 0.00025144581342720644
allied | 17 | 0.08743169398907104
allies | 15 | 0.006756756756756757
allocated | 3 | 0.0005790387955993051
allotment | 2 | 8.502678343678259e-05
allotted | 4 | 0.0005790387955993051
allow | 8 | 0.0016420361247947454
allowance | 2 | 8.502678343678259e-05
allowances | 4 | 0.0004494887065962468
allowed | 11 | 0.0017371163867979154
allowing | 8 | 0.0031608060055314103
allows | 2 | 0.001444043321299639
ally | 5 | 0.00021256695859195646
almost | 70 | 0.5
alone | 18 | 0.0031725888324873096
along | 60 | 0.005076142131979695
alongside | 2 | 0.00021150592216582064
already | 42 | 0.008883248730964468
also | 193 | 0.040820642978003384
altar | 4 | 0.00025144581342720644
alter | 3 | 0.0006157635467980296
altered | 2 | 0.0004757373929590866
alternately | 2 | 0.00042301184433164127
alternative | 5 | 0.00030759766225776686
alternatives | 3 | 0.0003371165299471851
altho | 2 | 0.0006583278472679394
although | 49 | 0.016129032258064516
alto | 2 | 9.945300845350572e-05
altogether | 7 | 0.0015186028853454822
alusik's | 2 | 0.0037174721189591076
alva | 2 | 0.00019890601690701143
alvin | 5 | 0.0035335689045936395
alvise | 2 | 0.00019890601690701143
always | 40 | 0.008460236886632826
am | 29 | 1.0
amateur | 10 | 0.00041013021634368914
amazing | 2 | 0.00020506510817184457
ambassador | 7 | 0.0015086748805632386
ambiguous | 2 | 0.00020506510817184457
ambition | 4 | 0.00017005356687356519
ambitious | 3 | 0.00030759766225776686
ambulance | 3 | 0.00012754017515517388
amend | 2 | 0.00041050903119868636
amendment | 12 | 0.0005101607006206955
america | 27 | 0.009023789991796555
america's | 9 | 0.016728624535315983
american | 168 | 0.03395585738539898
americana | 2 | 0.0035335689045936395
americans | 22 | 0.06461538461538462
among | 63 | 0.0033372179256277146
amount | 33 | 0.003078817733990148
amounted | 2 | 0.0005790387955993051
amounts | 4 | 0.0021660649819494585
ample | 3 | 0.00030759766225776686
amusing | 6 | 0.0006151953245155337
amy | 4 | 0.0008203445447087777
an | 609 | 0.03751866600298656
analysis | 6 | 0.00025508035031034776
anarchy | 2 | 8.502678343678259e-05
ancient | 8 | 0.0008488964346349745
and | 4289 | 1.0
anderson | 8 | 0.0008203445447087777
anderson's | 3 | 0.0055762081784386614
andrea | 2 | 0.00019890601690701143
andrew | 5 | 0.0004972650422675286
andy | 2 | 0.00019890601690701143
anecdote | 2 | 8.502678343678259e-05
angel | 3 | 0.0005028916268544129
angeles | 22 | 0.002461033634126333
angeles' | 2 | 0.0037174721189591076
angelo | 3 | 0.0002983590253605172
angels | 3 | 0.004846526655896607
anger | 2 | 8.502678343678259e-05
angola | 3 | 0.0002983590253605172
angry | 4 | 0.00041013021634368914
animal | 8 | 0.00034010713374713037
animals | 2 | 0.0002247443532981234
animated | 2 | 0.0004757373929590866
ankle | 2 | 8.502678343678259e-05
ankles | 3 | 0.0003371165299471851
ann | 9 | 0.0008950770760815514
anna | 4 | 0.00039781203381402286
annapolis | 6 | 0.01060070671378092
anne | 8 | 0.002461033634126333
anniston | 2 | 0.00019890601690701143
anniversary | 7 | 0.00025508035031034776
announce | 6 | 0.0012315270935960591
announced | 43 | 0.006079907353792704
announcement | 13 | 0.0005526740923390869
announcements | 3 | 0.0003371165299471851
announcing | 4 | 0.0015804030027657052
annual | 34 | 0.0034861068389213574
annually | 3 | 0.0006345177664974619
anonymous | 5 | 0.0005126627704296114
another | 93 | 0.0747588424437299
answer | 25 | 0.00819672131147541
answered | 6 | 0.0011893434823977164
answers | 5 | 0.0007220216606498195
ant | 3 | 0.00012754017515517388
anthony | 4 | 0.00039781203381402286
anti-communist | 5 | 0.0005126627704296114
anti-monopoly | 4 | 0.00041013021634368914
anti-organization | 2 | 0.00020506510817184457
anti-party | 5 | 0.0005126627704296114
anti-secrecy | 2 | 0.00020506510817184457
anti-submarine | 2 | 0.00020506510817184457
anti-trust | 25 | 0.002563313852148057
anticipate | 2 | 0.00041050903119868636
anticipated | 10 | 0.0021408182683158895
antiques | 2 | 0.0002247443532981234
anton | 2 | 0.00019890601690701143
antonio | 2 | 0.00019890601690701143
ants | 2 | 0.0002247443532981234
anxious | 2 | 0.00020506510817184457
any | 179 | 0.41531322505800466
anybody | 6 | 0.022641509433962263
anymore | 3 | 0.0006345177664974619
anyone | 27 | 0.1018867924528302
anything | 20 | 0.07547169811320754
anyway | 7 | 0.0014805414551607445
anywhere | 12 | 0.047619047619047616
ap | 14 | 0.0353356890459364
apart | 8 | 0.001692047377326565
apartment | 12 | 0.00046764730890230425
apartments | 10 | 0.006756756756756757
apologies | 3 | 0.0003371165299471851
apparent | 9 | 0.0009227929867733005
apparently | 35 | 0.007402707275803722
appeal | 9 | 0.00041050903119868636
appealing | 5 | 0.0005126627704296114
appeals | 11 | 0.004846526655896607
appear | 12 | 0.0024630541871921183
appearance | 4 | 0.00017005356687356519
appearances | 6 | 0.0006742330598943702
appeared | 21 | 0.0052113491603937466
appearing | 5 | 0.0019755037534571317
appears | 9 | 0.006498194945848376
appeasement | 2 | 8.502678343678259e-05
applaud | 2 | 0.00041050903119868636
applauding | 2 | 0.0007902015013828526
applause | 5 | 0.00021256695859195646
appliances | 2 | 0.0002247443532981234
applicable | 2 | 0.00020506510817184457
application | 4 | 0.00017005356687356519
applications | 6 | 0.0006742330598943702
applied | 7 | 0.0009514747859181732
apply | 6 | 0.0012315270935960591
appointed | 10 | 0.0019029495718363464
appointee | 2 | 8.502678343678259e-05
appointment | 13 | 0.0005526740923390869
appointments | 2 | 0.0002247443532981234
appraisal | 4 | 0.00017005356687356519
appreciate | 5 | 0.001026272577996716
appreciated | 2 | 0.0005790387955993051
appreciation | 6 | 0.00025508035031034776
approach | 21 | 0.0008210180623973727
approached | 3 | 0.0005790387955993051
approaches | 4 | 0.0007220216606498195
approaching | 2 | 0.0007902015013828526
appropriate | 3 | 0.00020525451559934318
appropriately | 2 | 0.0007593014426727411
appropriations | 6 | 0.0016155088852988692
approval | 18 | 0.0007652410509310433
approve | 6 | 0.0012315270935960591
approved | 10 | 0.0014475969889982628
approximately | 5 | 0.0010575296108291032
april | 20 | 0.007067137809187279
apt | 2 | 0.00020506510817184457
aptly | 2 | 0.0007593014426727411
arab | 2 | 0.0008203445447087777
archaic | 2 | 0.00020506510817184457
arched | 2 | 0.0004757373929590866
architect | 2 | 8.502678343678259e-05
architecture | 3 | 0.00012754017515517388
archives | 2 | 0.0016155088852988692
arden | 2 | 0.0016406890894175555
are | 741 | 1.0
area | 57 | 0.002338236544511521
area's | 2 | 0.006006006006006006
area-wide | 2 | 0.00020506510817184457
areas | 31 | 0.0034835374761209123
aren't | 9 | 1.0
arenas | 2 | 0.0002247443532981234
arger | 3 | 0.0002983590253605172
argue | 3 | 0.0006157635467980296
argued | 10 | 0.002026635784597568
argument | 9 | 0.00038262052546552165
arguments | 5 | 0.0005618608832453085
arise | 6 | 0.0012315270935960591
arises | 2 | 0.001444043321299639
aristotle | 2 | 0.00019890601690701143
ariz. | 3 | 0.0002983590253605172
arkansas | 6 | 0.0005967180507210343
arlene | 2 | 0.00019890601690701143
arm | 4 | 0.00017005356687356519
armaments | 3 | 0.0003371165299471851
armed | 14 | 0.01092896174863388
armour | 2 | 0.00019890601690701143
arms | 20 | 0.013513513513513514
armstrong | 3 | 0.0002983590253605172
army | 34 | 0.00352024138798089
army's | 3 | 0.03225806451612903
arnold | 14 | 0.00139234211834908
arnolphe | 5 | 0.0004972650422675286
arose | 3 | 0.0008685581933989577
around | 54 | 0.004653130287648054
aroused | 4 | 0.0009514747859181732
arrange | 2 | 0.00041050903119868636
arranged | 8 | 0.001665080875356803
arrangement | 7 | 0.00029759374202873904
arrangements | 9 | 0.0010113495898415553
arranging | 2 | 0.0007902015013828526
array | 2 | 8.502678343678259e-05
arrears | 3 | 0.0003371165299471851
arrest | 7 | 0.00029759374202873904
arrested | 13 | 0.002616555661274976
arresting | 2 | 0.00020506510817184457
arrests | 2 | 0.0002247443532981234
arrival | 4 | 0.00017005356687356519
arrivals | 2 | 0.0002247443532981234
arrive | 5 | 0.001026272577996716
arrived | 10 | 0.0023161551823972205
arrives | 2 | 0.001444043321299639
arson | 2 | 8.502678343678259e-05
art | 34 | 0.0010628347929597824
arthur | 7 | 0.00069617105917454
article | 13 | 0.0005101607006206955
articles | 4 | 0.0004494887065962468
artificial | 4 | 0.00041013021634368914
